Incident Number,Incident_Type,Date_Reported,Cause_Category,Cause_Agent,Population_Density,Province,Latitude,Longitude,Substance,Release_Type,Significant,Pipeline_Type,Activity_in_Process,Pipeline_Involved,Rupture,Environmental_Impact,Source of Explosion,Source of Fire,Activity at time of fatality,Injury,Pax,Evacuees,Pipeline_Name,Pipeline_Length,Substance_Carried,Land_Use,Emergency_Level,Nominal_Pipe_Size,Pipe_Material,Material_Grade,Design_Thickness,Licensed_Max_Pressure,Actual_Operating_Pressure,Year_of_Manufacture,Year_of_Installation,Service_Year,Weld type ,Seam_Type,Seam_Joining_Method,Coating_Location,Coating_Type
INC2019-007,Fire,01/15/2019,Incorrect Operation,Human Factors,Low ,Alberta,55.035897,-117.363566,Not Applicable,Not Applicable,No,Transmission,Construction,No,No,No,,Equipment & Electrical,,,,0,PEACE RIVER M/L (ZAMA LAKE TO VALLEYVIEW) - NPS 20,473.8243833,Natural Gas,Forests,Not Emergency,,,,,,,,,,,,,,
INC2019-008,Release of Substance,01/16/2019,Corrosion and Cracking,Maintenance,Low ,Alberta,56.37079958,-119.9226624,Natural Gas - Sweet,Gas,No,Transmission,Operation,Yes,No,No,,,,,,0,NORTHWEST M/L (BOUNDARY LAKE SECTION) - NPS 36,112.4552231,Natural Gas,Forests,Not Emergency,NPS 1/2,Carbon Steel,,,8274,5303,,,,,,,,
INC2019-013,Release of Substance,01/27/2019,Corrosion and Cracking,Maintenance,Low ,Alberta,54.09446953,-113.2313181,Natural Gas - Sweet,Gas,No,Transmission,Maintenance,Yes,No,No,,,,,,0,THORHILD LATERAL - NPS 6,8.4670257,Natural Gas,Forests,Not Emergency,NPS 6,Carbon Steel,317 - X46,3.2 mm = 0.126 in,8260,3960,,1976,1977,,Straight,Electric Resistance Welded,External,Polyethylene Tape Wrap
INC2019-014,Fire,01/29/2019,Incorrect Operation,Human Factors,Low ,Alberta,53.607907,-115.579668,Not Applicable,Not Applicable,No,Distribution,Maintenance,No,No,No,,Equipment & Electrical,,,,0,Mainline,1596.893888,"Crude Oil, Crude Oil Sour Heavy, Crude Oil Sour Light, Crude Oil Sweet Heavy, Crude Oil Sweet Light",Forests,Not Emergency,,,,,,,,,,,,,,
INC2019-016,Operation Beyond Design Limits,02/01/2019,Natural Force Damage,Natural or Environmental Forces,Low ,Alberta,53.560638,-114.251335,Not Applicable,Not Applicable,No,Transmission,Maintenance,No,No,No,,,,,,0,Mainline,1596.893888,"Crude Oil, Crude Oil Sour Heavy, Crude Oil Sour Light, Crude Oil Sweet Heavy, Crude Oil Sweet Light",Water / Wetlands,Not Emergency,,,,,,,,,,,,,,
INC2019-018,Fire,02/04/2019,Incorrect Operation,Maintenance,Low ,Alberta,54.48310727,-118.0999325,Not Applicable,Not Applicable,No,Transmission,Construction,No,No,No,,Other Event (Nature or 3rd Party),,,,0,GRANDE PRAIRIE MAINLINE,339.6264095,Natural Gas,Forests,Not Emergency,,,,,,,,,,,,,,
INC2019-019,Serious Injury (CER),02/05/2019,Incorrect Operation,Human Factors,Low ,British Columbia,54.78775,-122.1297222,Not Applicable,Not Applicable,Yes,Transmission,Construction,No,No,No,,,,Fracture,1,1,NORTH MONTNEY MAINLINE,287.6755648,Natural Gas Sweet,Forests,Not Emergency,,,,,,,,,,,,,,
INC2019-020,Fire,02/06/2019,External Interference,Natural or Environmental Forces,Low ,British Columbia,54.04048,-121.180202,Not Applicable,Not Applicable,No,Transmission,Construction,No,No,No,,Under Investigation or Unknown,,,,0,NORTH MONTNEY MAINLINE,287.6755648,Natural Gas Sweet,Forests,Not Emergency,,,,,,,,,,,,,,
INC2009-152,Operation Beyond Design Limits,11/11/2010,Equipment Failure,Human Factors,Unknown,Alberta,53.54740278,-113.3556944,Not Applicable,Not Applicable,No,,Operation,Yes,No,No,,,,,,0,Line 4,1248.909872,Crude Oil,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2009-153,Serious Injury (CER),04/12/2012,Incorrect Operation,Human Factors,Unknown,Manitoba,49.316926,-98.554895,Not Applicable,Not Applicable,Yes,Transmission,Construction,No,No,No,,,,Fracture,1,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2009-154,Serious Injury (CER),04/12/2012,Incorrect Operation,Human Factors,Unknown,Manitoba,49.848471,-99.95009,Not Applicable,Not Applicable,Yes,Transmission,Construction,No,No,No,,,,Fracture,1,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2009-155,Serious Injury (CER),04/12/2012,Incorrect Operation,Human Factors,Unknown,Manitoba,49.18011,-97.938947,Not Applicable,Not Applicable,Yes,Transmission,Construction,No,No,No,,,,Fracture,1,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-001,Release of Substance,01/06/2010,Equipment Failure,Maintenance,Low ,Alberta,56.367553,-119.931713,Natural Gas - Sweet,Gas,Yes,,Operation,Yes,No,No,,,,,,0,NGTL - Boundary Lake Meter Station,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-003,Release of Substance,01/09/2010,To be determined,To be determined,High ,British Columbia,56.14638,-120.66917,Contaminated Water,Miscellaneous,Yes,Processing,Operation,No,No,No,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-004,Adverse Environmental Effects,01/08/2010,Incorrect Operation,Human Factors,Low ,Alberta,56.86338,-114.70979,Not Applicable,Not Applicable,Yes,,Construction,Yes,No,No,,,,,,0,NORTH CENTRAL CORRIDOR,378.5193526,Natural Gas,Unknown Land Use (Historical Data Migration),Level I,,Carbon Steel,,,0,,,,,,,,,
INC2010-005,Operation Beyond Design Limits,01/16/2010,Equipment Failure,Engineering and Planning,Unknown,Alberta,57.503,-116.45,Not Applicable,Not Applicable,No,,Operation,Yes,No,No,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-006,Fire,01/18/2010,Defect and Deterioration,Maintenance,Unknown,Ontario,44.23202,-77.23148,Not Applicable,Not Applicable,No,Transmission,Operation,No,No,No,,Equipment & Electrical,,,,0,LINE 100-1,2595.724534,Natural Gas,Unknown Land Use (Historical Data Migration),Level I,,,,,0,,,,,,,,,
INC2010-009,Operation Beyond Design Limits,01/27/2010,Equipment Failure,Standards and Procedures,Unknown,Ontario,43.46745,-79.68767,Not Applicable,Not Applicable,No,Distribution,Operation,No,No,No,,,,,,0,Mainline,635.0188165,Refined Products-Aviation,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-012,Release of Substance,01/31/2010,Defect and Deterioration,Maintenance,Unknown,Alberta,55.88802,-112.12314,Natural Gas - Sweet,Gas,No,,Operation,No,No,Yes,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
