Incident Number,Incident_Type,Date_Reported,Cause_Category,Cause_Agent,Population_Density,Province,Latitude,Longitude,Substance,Release_Type,Significant,Pipeline_Type,Activity_in_Process,Pipeline_Involved,Rupture,Environmental_Impact,Source of Explosion,Source of Fire,Activity at time of fatality,Injury,Pax,Evacuees,Pipeline_Name,Pipeline_Length,Substance_Carried,Land_Use,Emergency_Level,Nominal_Pipe_Size,Pipe_Material,Material_Grade,Design_Thickness,Licensed_Max_Pressure,Actual_Operating_Pressure,Year_of_Manufacture,Year_of_Installation,Service_Year,Weld type ,Seam_Type,Seam_Joining_Method,Coating_Location,Coating_Type
INC2008-115,Fire,12/02/2008,Equipment Failure,Maintenance,Low ,British Columbia,56.63822,-121.65102,Not Applicable,Not Applicable,No,,Operation,Yes,No,No,,Equipment & Electrical,,,,0,WEI - Booster Station #3 - Kobes,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2008-119,Release of Substance,12/08/2008,Defect and Deterioration,Maintenance,Low ,British Columbia,55.032,-123.03098,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,WEI - McLeod Lake Compressor Station,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2008-120,Release of Substance,12/09/2008,Equipment Failure,Maintenance,Low ,Manitoba,49.75544,-97.2305,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,NPS 1/2,,,,0,,,,,,,,,
INC2008-121,Adverse Environmental Effects,12/10/2008,Equipment Failure,Maintenance,Low ,Nova Scotia,45.18253,-61.65236,Not Applicable,Not Applicable,Yes,,Construction,No,No,No,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2008-123,Fire,12/17/2008,External Interference,Maintenance,Very High ,Alberta,53.5474,-113.35571,Not Applicable,Not Applicable,No,,Construction,No,No,No,,Under Investigation or Unknown,,,,0,EPI - Edmonton Terminal,,,Unknown Land Use (Historical Data Migration),Level I,,,,,0,,,,,,,,,
INC2008-128,Release of Substance,01/13/2009,Corrosion and Cracking,Engineering and Planning,Unknown,Ontario,49.76492,-84.91824,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,TCPL - Station 86 (Hearst Compressor Station),,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2009-002,Release of Substance,01/15/2009,Corrosion and Cracking,Maintenance,Unknown,Ontario,43.11405,-79.46307,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,TCPL - Station 211 (Lincoln Compressor Station),,,Unknown Land Use (Historical Data Migration),Level I,,,,,0,,,,,,,,,
INC2009-009,Serious Injury (CER),02/09/2009,Incorrect Operation,Human Factors,High ,Saskatchewan,50.44344,-104.35655,Not Applicable,Not Applicable,Yes,,Construction,No,No,No,,,,Fracture,1,0,,,,Unknown Land Use (Historical Data Migration),Level III,,,,,,,,,,,,,,
INC2009-010,Release of Substance,02/09/2009,Defect and Deterioration,Maintenance,Unknown,Ontario,43.11368,-79.46307,Fuel Gas,Gas,No,,Operation,Yes,No,No,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2018-054,Fire,05/31/2018,External Interference,Natural or Environmental Forces,Medium ,Ontario,44.93673852,-79.339419,Not Applicable,Not Applicable,No,Transmission,Construction,No,No,No,,Under Investigation or Unknown,,,,0,LINE 100-2,3393.42642,Natural Gas,Shrub Land,Level I,,,,,,,,,,,,,,
INC2009-015,Serious Injury (CER),02/20/2009,Incorrect Operation,Inadequate Supervision,Low ,British Columbia,56.72686,-121.81832,Natural Gas - Sour,Gas,Yes,Transmission,Operation,Yes,Yes,No,,,,Lost Consciousness,2,0,,,,Unknown Land Use (Historical Data Migration),Level III,NPS 18,Carbon Steel,290 - X42,9.5 mm = 0.375 in,800,,,,,,Straight,Electric Resistance Welded,Internal,
INC2009-019,Release of Substance,03/05/2009,Defect and Deterioration,Maintenance,Unknown,Manitoba,49.91175,-98.51757,Lube Oil,Liquid,No,,Operation,Yes,No,No,,,,,,0,TCPL - Station 34 (Portage La Prarie Comp. Stn),,,Unknown Land Use (Historical Data Migration),Level I,NPS 1/2,,,,0,,,,,,,,,
INC2009-021,Release of Substance,03/10/2009,Defect and Deterioration,Maintenance,Unknown,Ontario,48.87172,-80.89396,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,,,,Developed Land - Industrial,Level I,,,,,0,,,,,,,,,
INC2009-024,Serious Injury (CER),03/13/2009,Incorrect Operation,Human Factors,Unknown,Ontario,42.97494,-82.40703,Not Applicable,Not Applicable,Yes,,Maintenance,No,No,No,,,,Lost Consciousness,1,0,EPI - Sarnia Pump Station,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2009-026,Release of Substance,03/23/2009,External Interference,Failure in communication,Unknown,British Columbia,57.31724,-120.82153,Natural Gas - Sour,Gas,Yes,,Operation,Yes,No,No,,,,,,0,"10"" Dahl Pipeline",30.95531555,Natural Gas Sour,Unknown Land Use (Historical Data Migration),Level I,NPS 1/4,,,,0,,,,,,,,,
INC2009-031,Release of Substance,04/07/2009,Equipment Failure,Maintenance,Unknown,British Columbia,54.97941,-121.06074,Natural Gas - Sour,Gas,Yes,,Operation,Yes,No,No,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2009-032,Release of Substance,04/08/2009,Natural Force Damage,Engineering and Planning,Unknown,Ontario,49.58574,-83.16712,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,TCPL - Station 92 (Mattice Compressor Station),,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2018-045,Operation Beyond Design Limits,05/15/2018,Natural Force Damage,Natural or Environmental Forces,High ,Ontario,43.383988,-79.752083,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,,,,,0,Mainline,635.0188165,Refined Products-Aviation,Developed Land - Residential,Level I,NPS 10,Carbon Steel,317 - X46,7.8 mm = 0.307 in,8860,3123,1950,1951,,Long Seam (Longitudinal),Straight,Electric Resistance Welded,External,Coal Tar Enamel Narrow
INC2018-046,Operation Beyond Design Limits,05/22/2018,Natural Force Damage,Natural or Environmental Forces,High ,Ontario,43.775574,-79.370107,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,,,,,0,Toronto Lateral,20.02955014,Refined Products-Aviation,Developed Land - Residential,Level I,NPS 10,Carbon Steel,241 - B,7.8 mm = 0.307 in,8412,156.511,,1951,1952,,Straight,Electric Resistance Welded,External,Polyethylene Tape Wrap
INC2018-047,Release of Substance,05/23/2018,Equipment Failure,Engineering and Planning,Low ,New Brunswick,45.19,-66.4,Natural Gas - Sweet,Gas,No,Transmission,Operation,Yes,No,No,,,,,,0,BRUNSWICK PIPELINE,142.8732829,Natural Gas,Forests,Level I,,,,,,,,,,,,,,
INC2018-049,Release of Substance,05/27/2018,Equipment Failure,Engineering and Planning,Low ,British Columbia,51.31303645,-120.1776218,Crude Oil - Sweet,Liquid,Yes,Transmission,Operation,Yes,No,Yes,,,,,,0,MAINLINE LOOP: KAMLOOPS SECTION,81.04054894,Crude Oil,Developed Land - Industrial,Level I,NPS 3/4,Carbon Steel,241 - B,5.6 mm = 0.219 in,9800,5063,2001,2009,2009,,,,,
INC2018-050,Operation Beyond Design Limits,05/29/2018,Incorrect Operation,Natural or Environmental Forces,Medium ,Quebec,45.64084,-73.926493,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,,,,,0,Mirabel Lateral,21.63539265,"Refined Products-Aviation, Refined Products-Distillate, Refined Products-Gasoline",Agricultural Cropland,Level I,NPS 12,Carbon Steel,317 - X46,6.3 mm = 0.250 in,9928.451,156.511,,,,Long Seam (Longitudinal),Straight,Electric Resistance Welded,External,Coal Tar Enamel Narrow
INC2018-052,Operation Beyond Design Limits,05/29/2018,Natural Force Damage,Natural or Environmental Forces,Low ,Alberta,50.740621,-111.534895,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,,,,,0,NORTH LATERAL LOOP - NPS 30,5.52125738,Natural Gas,Shrub Land,Level I,NPS 30,Stainless Steel,448 - X65,6.6 mm = 0.258 in,8450,4030,1975,1975,1975,,,,,Polyethylene Tape Wrap
INC2018-053,Fire,05/31/2018,External Interference,Natural or Environmental Forces,Low ,Ontario,48.56827,-88.89871,Not Applicable,Not Applicable,No,Transmission,Operation,No,No,No,,Other Event (Nature or 3rd Party),,,,0,LINE 100-1,2595.724534,Natural Gas,Forests,Level I,,,,,,,,,,,,,,
INC2018-056,Operation Beyond Design Limits,06/06/2018,External Interference,Natural or Environmental Forces,Low ,Alberta,55.61114,-118.47815,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,,,,,0,TEEPEE CREEK LATERAL - NPS 8,42.05222672,Natural Gas,Agricultural Cropland,Level I,,,,,,,,,,,,,,
INC2018-058,Operation Beyond Design Limits,06/07/2018,Natural Force Damage,Natural or Environmental Forces,Low ,Alberta,50.6992,-111.54346,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,,,,,0,,,,Shrub Land,Level I,NPS 30,Stainless Steel,359 - X52,8.7 mm = 0.344 in,5917,,1969,1969,1969,,,,,
INC2018-060,Release of Substance,06/10/2018,Equipment Failure,Engineering and Planning,Low ,Alberta,55.25153009,-114.5217525,Natural Gas - Sweet,Gas,No,Transmission,Operation,Yes,No,No,,,,,,0,"SLAVE LAKE LATERAL (3"" 1989)",3.89797764,Natural Gas,Forests,Level I,,,,,,,,,,,,,,
INC2018-061,Fire,06/15/2018,Equipment Failure,Natural or Environmental Forces,Low ,Ontario,49.82796103,-93.63578904,Not Applicable,Not Applicable,No,Transmission,Operation,No,No,No,,Equipment & Electrical,,,,0,Line 100-1 (Central section),,,Forests,Level I,,,,,,,,,,,,,,
INC2018-063,Fire,06/20/2018,Incorrect Operation,Human Factors,Medium ,British Columbia,49.26848937,-122.931342,Not Applicable,Not Applicable,No,Transmission,Construction,No,No,No,,Welding or Cutting,,,,0,Mainline,1596.893888,"Crude Oil, Crude Oil Sour Heavy, Crude Oil Sour Light, Crude Oil Sweet Heavy, Crude Oil Sweet Light",Shrub Land,Level I,,,,,,,,,,,,,,
INC2018-065,Release of Substance,06/21/2018,Equipment Failure,Natural or Environmental Forces,Low ,Nova Scotia,45.175993,-61.61994,Natural Gas - Sweet,Gas,No,Transmission,Operation,Yes,No,No,,,,,,0,Mainline,574.8807991,Natural Gas,Developed Land - Industrial,Level I,,,,,,,,,,,,,,
INC2018-066,Release of Substance,06/23/2018,Equipment Failure,Natural or Environmental Forces,Low ,British Columbia,56.7538,-120.6529,Natural Gas - Sour,Gas,Yes,Gathering,Operation,Yes,No,No,,,,,,0,Wolf Pipeline,33.72543507,Natural Gas,Agricultural Cropland,Level II,,,,,,,,,,,,,,
INC2009-107,Fire,09/24/2009,Equipment Failure,Maintenance,Unknown,Manitoba,50.04208,-99.65931,Not Applicable,Not Applicable,No,Transmission,Construction,No,No,No,,Welding or Cutting,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2009-109,Release of Substance,09/26/2009,Defect and Deterioration,Maintenance,Unknown,Ontario,46.89733,-79.80783,Natural Gas - Sweet,Gas,Yes,Transmission,Operation,No,Yes,No,,,,,,0,LINE 100-1,2595.724534,Natural Gas,Unknown Land Use (Historical Data Migration),Level III,NPS 30,Carbon Steel,359 - X52,9.5 mm = 0.375 in,6895,,1958,1958,1958,,Straight,,External,Asphalt Mastic
INC2009-111,Release of Substance,09/29/2009,Corrosion and Cracking,Engineering and Planning,Unknown,Saskatchewan,50.29138341,-103.8103553,Crude Oil - Synthetic,Liquid,No,Transmission,Operation,Yes,No,No,,,,,,0,Line 2,1282.304863,Crude Oil,Unknown Land Use (Historical Data Migration),Level III,NPS 24,,,,0,,,,,,,,External,
INC2009-112,Fire,09/30/2009,External Interference,Inadequate Supervision,Unknown,Ontario,43.59893,-79.776,Natural Gas - Sweet,Gas,No,Distribution,Operation,No,No,No,,Other Event (Nature or 3rd Party),,,,0,Lisgar Gate Station,,,Unknown Land Use (Historical Data Migration),Level III,NPS 2,Carbon Steel,,,0,,,,,,,,,
INC2009-113,Release of Substance,10/05/2009,Corrosion and Cracking,Maintenance,Low ,Ontario,45.16297,-75.37183,Gasoline,Liquid,Yes,,Operation,Yes,No,No,,,,,,0,Ottawa Lateral,69.18015157,"Refined Products-Aviation, Refined Products-Distillate, Refined Products-Gasoline",Unknown Land Use (Historical Data Migration),Level III,,Carbon Steel,,5.2 mm = 0.203 in,8274,,,1968,1968,,,,External,Coal Tar Enamel Narrow
INC2009-115,Release of Substance,10/16/2009,External Interference,Maintenance,Unknown,British Columbia,54.89349,-120.66962,Natural Gas - Sour,Gas,Yes,,Operation,Yes,No,No,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,NPS 1,,,,0,,,,,,,,,
INC2009-118,Release of Substance,10/20/2009,Equipment Failure,Maintenance,Unknown,Alberta,51.66922,-111.89792,Natural Gas - Sweet,Gas,No,Transmission,Operation,No,No,No,,,,,,0,NGTL - Hanna South B Sales Meter Station,,,Unknown Land Use (Historical Data Migration),Level I,,,,,0,,,,,,,,,
INC2009-119,Fire,10/22/2009,Equipment Failure,Maintenance,Unknown,Alberta,52.93029,-112.07347,Not Applicable,Not Applicable,No,,Operation,Yes,No,No,,Equipment & Electrical,,,,0,Line 4,1248.909872,Crude Oil,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2009-120,Release of Substance,10/23/2009,Equipment Failure,Maintenance,Unknown,Alberta,54.0438,-117.42069,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,NGTL - Berland River Compressor Station,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2009-121,Release of Substance,10/29/2009,Corrosion and Cracking,Maintenance,Unknown,Ontario,49.03334,-90.51047,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,TCPL - Station 62 (Upsala Compressor Station),,,Unknown Land Use (Historical Data Migration),Level I,NPS 2,,,,0,,,,,,,,,
INC2009-132,Fire,12/04/2009,External Interference,Maintenance,Unknown,British Columbia,59.63213,-123.09505,Not Applicable,Not Applicable,No,,Construction,Yes,No,No,,Equipment & Electrical,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2009-123,Release of Substance,11/01/2009,Defect and Deterioration,Maintenance,Unknown,New Brunswick,45.30706,-66.04267,Natural Gas - Sweet,Gas,No,,Maintenance,Yes,No,No,,,,,,0,Emera - Red Head Metre Station,,,Unknown Land Use (Historical Data Migration),Level I,NPS 3/8,Stainless Steel,,,0,,,,,,,,,
INC2009-126,Release of Substance,11/04/2009,Defect and Deterioration,Maintenance,Unknown,Alberta,56.03467,-117.96587,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,NGTL - Cardinal Lake Compressor Station,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2009-128,Release of Substance,11/18/2009,Equipment Failure,Maintenance,Low ,New Brunswick,46.02461,-64.22321,Natural Gas - Sweet,Gas,No,Transmission,Operation,No,No,No,,,,,,0,MNE - New Brunswick Main line,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2009-129,Release of Substance,11/23/2009,Equipment Failure,Tools and Equipment,Unknown,New Brunswick,45.26269,-65.98211,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,Emera - Red Head Metre Station,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2009-130,Serious Injury (CER),10/17/2009,Incorrect Operation,Human Factors,Unknown,Manitoba,49.19043,-98.10794,Not Applicable,Not Applicable,Yes,,Construction,No,No,No,,,,Fracture,1,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2018-136,Release of Substance,09/28/2018,Defect and Deterioration,Tools and Equipment,Low ,Ontario,47.919398,-79.992348,Natural Gas - Sweet,Gas,No,Transmission,Operation,Yes,No,No,,,,,,0,LINE 100-1,2595.724534,Natural Gas,Forests,Level I,NPS 30,Carbon Steel,359 - X52,9.5 mm = 0.375 in,6895,6891,1958,1958,1958,Girth (Circumferential),Straight,Double Submerged Arc Welding,External,Coal Tar Enamel Narrow
INC2018-137,Operation Beyond Design Limits,10/01/2018,Incorrect Operation,Human Factors,Low ,Saskatchewan,49.286324,-102.631387,Not Applicable,Not Applicable,No,Transmission,Maintenance,Yes,No,No,,,,,,0,,,,Agricultural Cropland,Level I,,,,,,,,,,,,,,
INC2018-139,Release of Substance,10/06/2018,Corrosion and Cracking,Engineering and Planning,Low ,Alberta,50.30496,-112.09675,Natural Gas - Sweet,Gas,No,Transmission,Maintenance,Yes,No,No,,,,,,0,RAINIER SOUTH LATERAL - NPS 6,15.87583246,Natural Gas,Agricultural Cropland,Level I,NPS 6,Carbon Steel,317 - X46,3.2 mm = 0.126 in,8270,4492,,1977,1977,,Straight,Electric Resistance Welded,External,Polyethylene Tape Wrap
INC2018-141,Serious Injury (CER),10/09/2018,Incorrect Operation,Human Factors,Low ,Manitoba,49.235774,-98.481214,Not Applicable,Not Applicable,Yes,Transmission,Construction,No,No,No,,,,Fracture,1,0,Line 3,2334.948756,Crude Oil,Developed Land - Industrial,Level I,,,,,,,,,,,,,,
INC2018-142,Explosion,10/09/2018,Corrosion and Cracking,Engineering and Planning,Medium ,British Columbia,54.02808,-122.65524,Natural Gas - Sweet,Gas,Yes,Transmission,Operation,Yes,Yes,No,Under Investigation or Unknown,Under Investigation or Unknown,,,,0,"SPECTRA - 36"" LOOP",1105.13746,Natural Gas,Forests,Emergency,NPS 36,,414 - X60,,6453,6357,1972,1972,1972,,,,,Polyethylene Tape Wrap
INC2018-144,Serious Injury (CER),10/10/2018,Incorrect Operation,Human Factors,Low ,Saskatchewan,50.39316803,-104.4093635,Not Applicable,Not Applicable,Yes,Transmission,Construction,No,No,No,,,,Fracture,1,1,Line 100-4,1422.828067,Natural Gas,Agricultural Cropland,Level I,,,,,,,,,,,,,,
INC2018-145,Release of Substance,10/15/2018,Corrosion and Cracking,Maintenance,Low ,Alberta,56.37079958,-119.9226624,Natural Gas - Sweet,Gas,No,Transmission,Operation,Yes,No,No,,,,,,0,NORTHWEST M/L (BOUNDARY LAKE SECTION) - NPS 36,112.4552231,Natural Gas,Forests,Level I,,,,,,,,,,,,,,
INC2018-149,Operation Beyond Design Limits,10/18/2018,Incorrect Operation,Human Factors,High ,Ontario,43.329026,-80.091296,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,,,,,0,Line 7,256.9490583,Crude Oil,Developed Land - Industrial,Level I,,,,,,,,,,,,,,
INC2018-151,Operation Beyond Design Limits,10/18/2018,Natural Force Damage,Natural or Environmental Forces,Low ,British Columbia,57.89173387,-122.7178658,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,,,,,0,,,,Water / Wetlands,Level I,NPS 30,,,,,,,,,,,,,
INC2018-152,Fire,10/19/2018,Incorrect Operation,Inadequate Supervision,Low ,Saskatchewan,50.60512453,-108.708555,Not Applicable,Not Applicable,No,Transmission,Maintenance,Yes,No,No,,Welding or Cutting,,,,0,KEYSTONE,1227.085021,Crude Oil,Developed Land - Industrial,Level I,,,,,,,,,,,,,,
INC2018-153,Fire,10/20/2018,External Interference,Natural or Environmental Forces,Low ,British Columbia,56.78555556,-122.1319444,Not Applicable,Not Applicable,No,Transmission,Construction,No,No,No,,Other Event (Nature or 3rd Party),,,,0,NORTH MONTNEY MAINLINE,287.6755648,Natural Gas Sweet,Forests,Level I,,,,,,,,,,,,,,
INC2018-157,Operation Beyond Design Limits,10/24/2018,Natural Force Damage,Natural or Environmental Forces,Low ,British Columbia,56.74324468,-121.1826484,Not Applicable,Not Applicable,No,Gathering,Operation,Yes,No,No,,,,,,0,"10"" Buick Creek Pipeline",11.65141571,Natural Gas Sour,Agricultural Cropland,Level I,NPS 10,,,,,,,,,,,,,
INC2018-158,Serious Injury (CER),10/29/2018,Incorrect Operation,Failure in communication,Low ,Saskatchewan,51.7913,-108.8216,Not Applicable,Not Applicable,Yes,Transmission,Construction,No,No,No,,,,Fracture,1,1,Line 3,2334.948756,Crude Oil,Agricultural Cropland,Level II,,,,,,,,,,,,,,
INC2018-159,Operation Beyond Design Limits,10/30/2018,Natural Force Damage,Natural or Environmental Forces,Low ,British Columbia,49.27367,-115.59596,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,,,,,0,South BC - Zone 8,164.3313364,Natural Gas,Forests,Level I,NPS 36,Carbon Steel,448 - X65,,6280,,1980,1980,1980,,,,,
INC2018-160,Operation Beyond Design Limits,11/05/2018,Natural Force Damage,Natural or Environmental Forces,Low ,Alberta,55.875358,-119.845442,Not Applicable,Not Applicable,No,Transmission,Operation,No,No,No,,,,,,0,Taylor to Belloy,183.7791528,Crude Oil,Forests,Level I,,,,,,,,,,,,,,
INC2010-050,Fire,05/11/2010,Incorrect Operation,Engineering and Planning,Unknown,Alberta,51.943585,-114.736419,Not Applicable,Not Applicable,No,,Maintenance,No,No,No,,Under Investigation or Unknown,,,,0,NGTL - Schrader Creek Compressor Station,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-051,Release of Substance,05/22/2010,Equipment Failure,Maintenance,Unknown,Alberta,57.19361,-118.20534,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,NGTL - Meikle River Compressor Station,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-052,Release of Substance,05/25/2010,Defect and Deterioration,Maintenance,Unknown,Manitoba,50.04165,-99.66005,Propane,Gas,No,,Maintenance,Yes,No,No,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-053,Release of Substance,05/27/2010,Defect and Deterioration,Maintenance,Unknown,Alberta,50.69805,-111.53063,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-054,Release of Substance,05/28/2010,Defect and Deterioration,Standards and Procedures,Unknown,Saskatchewan,50.57578,-108.36036,Natural Gas - Sweet,Gas,No,,Maintenance,Yes,No,No,,,,,,0,Line 100-6,943.2932103,Natural Gas,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-055,Release of Substance,06/03/2010,Equipment Failure,Maintenance,Unknown,Alberta,54.093481,-116.62138,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,NGTL - Kaybob South #3 Meter Station,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-057,Release of Substance,06/17/2010,Defect and Deterioration,Maintenance,Unknown,Saskatchewan,50.65773,-109.53719,Mixed HVP Hydrocarbons,Gas,No,,Operation,Yes,No,No,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-058,Release of Substance,06/16/2010,Corrosion and Cracking,Engineering and Planning,Unknown,Alberta,54.83027,-118.64709,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,NGTL - Gold Creek Compressor Station,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-059,Release of Substance,06/18/2010,Incorrect Operation,Engineering and Planning,Unknown,New Brunswick,45.30724,-66.04254,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,Emera - Red Head Metre Station,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-060,Fire,06/22/2010,External Interference,Human Factors,Low ,Saskatchewan,50.28617,-102.95153,Natural Gas - Sweet,Gas,No,,Construction,No,No,No,,Other Event (Nature or 3rd Party),,,,0,TCPL - Station 21 (Grenfell Compressor Station),,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-061,Release of Substance,06/22/2010,Equipment Failure,Inadequate Supervision,Low ,Saskatchewan,52.13984,-109.80493,Crude Oil - Sour,Liquid,No,,Operation,Yes,No,No,,,,,,0,Line 4,1248.909872,Crude Oil,Unknown Land Use (Historical Data Migration),Level I,,,,,0,,,2010,2010,,,,,
INC2010-062,Release of Substance,06/24/2010,Defect and Deterioration,Maintenance,Low ,Alberta,54.1326,-115.2362,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,NGTL - Greencourt West Meter Station,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-063,Fire,06/24/2010,External Interference,Maintenance,Low ,British Columbia,54.28494,-122.61215,Not Applicable,Not Applicable,No,,Operation,Yes,No,No,,Under Investigation or Unknown,,,,0,WEI - Compressor Station 4A,,,Unknown Land Use (Historical Data Migration),Level I,,,,,0,,,,,,,,,
INC2010-066,Release of Substance,07/08/2010,Corrosion and Cracking,Natural or Environmental Forces,Low ,Alberta,53.16727,-112.15003,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,,,,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2010-073,Release of Substance,07/14/2010,Incorrect Operation,Standards and Procedures,Unknown,Quebec,45.625209,-73.543389,Jet Fuel,Liquid,Yes,Transmission,Operation,Yes,No,No,,,,,,0,MONTREAL FEEDER,1.072838,"not applicable, Refined Products-Aviation, Refined Products-Distillate, Refined Products-Gasoline",Unknown Land Use (Historical Data Migration),Level III,NPS 10,,,,,,,,,,,,External,
INC2010-074,Release of Substance,07/15/2010,Equipment Failure,Maintenance,Unknown,Ontario,48.94621,-80.99467,Natural Gas - Sweet,Gas,No,,Operation,Yes,No,No,,,,,,0,LINE 100-1,2595.724534,Natural Gas,Unknown Land Use (Historical Data Migration),Level I,,,,,,,,,,,,,,
INC2019-047,Release of Substance,04/29/2019,Equipment Failure,Natural or Environmental Forces,Low ,Saskatchewan,49.93069,-108.94167,Natural Gas - Sweet,Gas,No,Transmission,Operation,Yes,No,No,,,,,,0,LINE 100-2,3393.42642,Natural Gas,Developed Land - Industrial,Not Emergency,,,,,,,,,,,,,,
INC2019-048,Release of Substance,05/01/2019,Defect and Deterioration,Inadequate Procurement,Low ,British Columbia,54.26833,-122.60651,Natural Gas - Sweet,Gas,No,Transmission,Maintenance,Yes,No,No,,,,,,0,"SPECTRA - 30"" MAINLINE",1274.364117,"Natural Gas, Natural Gas Sweet",Forests,Not Emergency,NPS 30,Carbon Steel,359 - X52,9.5 mm = 0.374 in,6453,4413,1957,1957,1957,Long Seam (Longitudinal),Straight,Double Submerged Arc Welding,External,Asphalt Mastic
INC2019-049,Release of Substance,05/02/2019,Defect and Deterioration,To be determined,Low ,New Brunswick,47.36,-68.33,Water,Miscellaneous,No,Processing,Operation,Yes,Yes,No,,,,,,0,GROUNDWOOD WHITE WATER RETURN,1.66358576,White Water,Developed Land - Industrial,Not Emergency,NPS 20,Composite,,,,,,,,,,,,
INC2019-051,Operation Beyond Design Limits,05/14/2019,Natural Force Damage,Natural or Environmental Forces,Low ,Ontario,45.93232,-79.37498,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,,,,,0,LINE 100-1,2595.724534,Natural Gas,Forests,Not Emergency,,,,,,,,,,,,,,
